city,lat,long,state,date
ARIYALUR,0,79.07556,Tamil Nadu,20260803
ARRAH,25.55629,84.66335,Bihar,20260803
AURANGABAD-BIHAR,0,0,,20260803
BAGHPAT,0,0,,20260803
BIDAR,0,77.51524,Karnataka,20260803
BUXAR,25.57548,83.98043,Bihar,20260803
CHENGALPATTU,0,0,Tamil Nadu,20260803
CUDDALORE,0,79.76693,Tamil Nadu,20260803
DARBHANGA,26.15216,85.89707,Bihar,20260803
DAVANAGERE,0,0,,20260803
DINDIGUL,10.36896,77.98036,Tamil Nadu,20260803
ELOOR,0,0,,20260803
ERNAKULAM,0,0,Kerala,20260803
GADAG,15.42977,75.62971,Karnataka,20260803
GAJRAULA,0,0,Uttar Pradesh,20260803
GORAKHPUR,29.44768,75.67206,Haryana,20260803
HASSAN,0,76.0962,Karnataka,20260803
HAVERI,0,0,,20260803
HOSUR,12.73647,77.83264,Tamil Nadu,20260803
IMPHAL,24.80805,93.9442,Manipur,20260803
JALNA,0,75.88636,Maharashtra,20260803
KANCHIPURAM,0,0,,20260803
KARUR,10.95771,78.08095,Tamil Nadu,20260803
KASHIPUR,29.21399,78.95693,Uttarakhand,20260803
KHAIRTHAL,0,76.91869,Rajasthan,20260803
KOCHI,0,0,Kerala,20260803
KOLAR,13.13768,78.12999,Karnataka,20260803
KOLLAM,8.88113,76.58469,Kerala,20260803
KOPPAL,15.34522,76.15478,Karnataka,20260803
KOZHIKODE,11.24802,75.7804,Kerala,20260803
LUDHIANA,30.91204,75.85379,Punjab,20260803
MADURAI,9.919,78.11953,Tamil Nadu,20260803
MODINAGAR,28.83059,77.57295,Rajasthan,20260803
MOTIHARI,27.09833,84.54916,Bihar,20260803
NAGAPATTINAM,10.76377,79.84313,Tamil Nadu,20260803
NAMAKKAL,11.22126,78.16524,Tamil Nadu,20260803
NAYAGARH,20.12882,85.09626,Odisha,20260803
OOTY,11.4134,76.69521,Tamil Nadu,20260803
PALI,25.77276,73.32335,Rajasthan,20260803
PALKALAIPERUR,0,0,,20260803
PANCHGAON,0,0,,20260803
PATHARDIH,23.6658,86.43166,Jharkhand,20260803
PERUNDURAI,0,0,,20260803
PUDUKOTTAI,12.50157,78.59045,Tamil Nadu,20260803
RAICHUR,16.20546,77.35567,Karnataka,20260803
RAJGIR,25.02828,85.42079,Bihar,20260803
RAMANATHAPURAM,0,0,Tamil Nadu,20260803
RANIPET,0,0,,20260803
RUPNAGAR,30.21013,73.99427,Punjab,20260803
SALEM,11.65376,78.15538,Tamil Nadu,20260803
SASARAM,24.94942,84.01645,Bihar,20260803
SHIVAMOGGA,0,0,,20260803
SIVASAGAR,0,0,,20260803
SRI VIJAYA PURAM,0,0,,20260803
SRIKAKULAM,18.2989,83.89751,Andhra Pradesh,20260803
SUAKATI,21.6143,85.51543,Odisha,20260803
THANJAVUR,10.78523,79.13909,Tamil Nadu,20260803
TIRUCHIRAPPALLI,10.8155,78.69651,Tamil Nadu,20260803
TIRUNELVELI,8.72742,77.6838,Tamil Nadu,20260803
TIRUPUR,11.11541,77.35456,Tamil Nadu,20260803
TUMAKURU,13.34136,77.1022,Karnataka,20260803
UDUPI,13.33467,74.74617,Karnataka,20260803
VELLORE,12.9184,79.13255,Tamil Nadu,20260803
VIRUDHUNAGAR Notes,0,0,,20260803
