city,lat,long,state,date
Ariyalur,0,79.07556,Tamil Nadu,20260922
Aurangabad-Bihar,0,0,,20260922
Bagalkot,0,75.69614,Karnataka,20260922
Beed,0,0,Maharashtra,20260922
Belgaum,15.85929,74.61829,Karnataka,20260922
Bhiwani,28.79304,76.13968,Haryana,20260922
Bidar,17.90802,77.51524,Karnataka,20260922
Bihar Sharif,25.20084,85.52389,Bihar,20260922
Bilaspur,22.08005,82.15543,Chhattisgarh,20260922
Bileipada,0,0,,20260922
Buxar,25.57548,83.98043,Bihar,20260922
Chengalpattu,0,0,Tamil Nadu,20260922
Chhapra,0,72.92886,Gujarat,20260922
Coimbatore,0,0,Tamil Nadu,20260922
Cuddalore,0,79.76693,Tamil Nadu,20260922
Damoh,23.83312,79.4419,Madhya Pradesh,20260922
Darbhanga,26.15216,85.89707,Bihar,20260922
Davanagere,0,0,,20260922
Dhanbad,0,86.42992,Jharkhand,20260922
Dhule,20.9013,74.77737,Maharashtra,20260922
Dindigul,10.36896,77.98036,Tamil Nadu,20260922
Ernakulam,0,0,,20260922
Gadag,0,75.62971,Karnataka,20260922
Gummidipoondi,0,0,,20260922
Hassan,0,76.0962,Karnataka,20260922
Haveri,0,0,,20260922
Hosur,12.73647,77.83264,Tamil Nadu,20260922
Imphal,24.80805,93.9442,Manipur,20260922
Jorapokhar,22.41141,85.76497,Jharkhand,20260922
Kanchipuram,12.83515,79.70006,Tamil Nadu,20260922
Kannur,11.86752,75.35763,Kerala,20260922
Karur,10.95771,78.08095,Tamil Nadu,20260922
Karwar,14.81361,74.12972,Karnataka,20260922
Kashipur,29.21399,78.95693,Uttarakhand,20260922
Khairthal,27.6331,76.91869,Rajasthan,20260922
Kochi,9.93988,76.26022,Kerala,20260922
Kohima,25.67467,94.11099,Nagaland,20260922
Kolar,0,0,,20260922
Kollam,8.88113,76.58469,Kerala,20260922
Koppal,15.34522,76.15478,Karnataka,20260922
Kozhikode,0,0,,20260922
Leh,34.16504,77.58402,Ladakh,20260922
Madurai,0,78.11953,Tamil Nadu,20260922
Maihar,0,0,,20260922
Motihari,27.09833,84.54916,Bihar,20260922
Nagapattinam,10.76377,79.84313,Tamil Nadu,20260922
Namakkal,11.22126,78.16524,Tamil Nadu,20260922
Ooty,0,0,,20260922
Palkalaiperur,0,0,,20260922
Panchkula,0,0,,20260922
Panipat,0,0,Haryana,20260922
Pathardih,23.6658,86.43166,Jharkhand,20260922
Perundurai,11.27564,77.58794,Tamil Nadu,20260922
Pudukottai,12.50157,78.59045,Tamil Nadu,20260922
Purnia,25.77895,87.47422,Bihar,20260922
Raichur,16.20546,77.35567,Karnataka,20260922
Ramanathapuram,9.37158,78.83077,Tamil Nadu,20260922
Ranipet,12.92471,79.33331,Tamil Nadu,20260922
Salem,11.65376,78.15538,Tamil Nadu,20260922
Sangli,16.85438,74.56417,Maharashtra,20260922
Sasaram,24.94942,84.01645,Bihar,20260922
Shamli,29.4497,77.30959,Uttar Pradesh,20260922
Shillong,0,91.88313,Meghalaya,20260922
Sikar,27.61206,75.13996,Rajasthan,20260922
Singrauli,24.19973,82.67535,Madhya Pradesh,20260922
Sri Vijaya Puram,0,0,,20260922
Srikakulam,18.2989,83.89751,Andhra Pradesh,20260922
Suakati,0,0,Odisha,20260922
Thanjavur,10.78523,79.13909,Tamil Nadu,20260922
Thoothukudi,0,0,,20260922
Tiruchirappalli,10.8155,78.69651,Tamil Nadu,20260922
Tirunelveli,8.72742,77.6838,Tamil Nadu,20260922
Tirupati,0,0,,20260922
Tirupur,11.11541,77.35456,Tamil Nadu,20260922
Tumakuru,0,0,,20260922
Vellore,12.9184,79.13255,Tamil Nadu,20260922
Vijayapura,16.82442,75.71537,Karnataka,20260922
Virudhunagar,0,0,,20260922
Yadgir Notes,0,0,,20260922
