city,lat,long,state,date
ANGUL,20.84089,85.10192,Odisha,20260801
ARIYALUR,11.13849,79.07556,Tamil Nadu,20260801
ARRAH,25.55629,84.66335,Bihar,20260801
AURANGABAD-BIHAR,0,0,,20260801
BELGAUM,15.85929,74.61829,Karnataka,20260801
BIDAR,17.90802,77.51524,Karnataka,20260801
BIHAR SHARIF,25.20084,85.52389,Bihar,20260801
CHENGALPATTU,0,79.97661,Tamil Nadu,20260801
CHITTORGARH,24.88963,74.62403,Rajasthan,20260801
DARBHANGA,26.15216,85.89707,Bihar,20260801
DAVANAGERE,0,0,,20260801
DINDIGUL,0,77.98036,Tamil Nadu,20260801
ELOOR,0,0,,20260801
ERNAKULAM,9.96714,76.29036,Kerala,20260801
GADAG,15.42977,75.62971,Karnataka,20260801
GANGTOK,0,88.61216,Sikkim,20260801
HASSAN,0,0,Karnataka,20260801
HAVERI,14.79354,75.40448,Karnataka,20260801
HOSUR,0,77.83264,Tamil Nadu,20260801
IMPHAL,24.80805,93.9442,Manipur,20260801
KANCHIPURAM,12.83515,79.70006,Tamil Nadu,20260801
KARNAL,29.69197,76.98448,Haryana,20260801
KARUR,0,0,Tamil Nadu,20260801
KASHIPUR,0,78.95693,Uttarakhand,20260801
KHAIRTHAL,27.6331,76.91869,Rajasthan,20260801
KOCHI,9.93988,76.26022,Kerala,20260801
KOLAR,13.13768,78.12999,Karnataka,20260801
KOLLAM,0,0,Kerala,20260801
KOPPAL,0,76.15478,Karnataka,20260801
KOZHIKODE,0,0,Kerala,20260801
MADIKERI,12.42602,75.7382,Karnataka,20260801
MADURAI,0,0,Tamil Nadu,20260801
MAIHAR,24.26594,80.76063,Madhya Pradesh,20260801
MALEGAON,20.54966,74.53462,Maharashtra,20260801
MANGALORE,12.84654,74.84056,Karnataka,20260801
MOTIHARI,27.09833,84.54916,Bihar,20260801
MUNGER,0,0,Bihar,20260801
NAGAON,0,92.66667,Assam,20260801
NAGAPATTINAM,10.76377,79.84313,Tamil Nadu,20260801
NAMAKKAL,0,0,,20260801
NAYAGARH,0,85.09626,Odisha,20260801
OOTY,11.4134,76.69521,Tamil Nadu,20260801
PALKALAIPERUR,0,0,,20260801
PALWAL,28.14469,77.32546,Haryana,20260801
PATHARDIH,23.6658,86.43166,Jharkhand,20260801
PERUNDURAI,11.27564,77.58794,Tamil Nadu,20260801
PUDUKOTTAI,12.50157,78.59045,Tamil Nadu,20260801
RAEBARELI,26.2309,81.23315,Uttar Pradesh,20260801
RAICHUR,16.20546,77.35567,Karnataka,20260801
RAJGIR,25.02828,85.42079,Bihar,20260801
RAMANATHAPURAM,9.37158,78.83077,Tamil Nadu,20260801
RANIPET,12.92471,79.33331,Tamil Nadu,20260801
RUPNAGAR,30.21013,73.99427,Punjab,20260801
SALEM,11.65376,78.15538,Tamil Nadu,20260801
SAMASTIPUR,0,85.77953,Bihar,20260801
SASARAM,24.94942,84.01645,Bihar,20260801
SATARA,0,0,Maharashtra,20260801
SHIVAMOGGA,0,0,,20260801
SIVASAGAR,0,0,,20260801
SRI VIJAYA PURAM,0,0,,20260801
SRIKAKULAM,0,0,Andhra Pradesh,20260801
SUAKATI,21.6143,85.51543,Odisha,20260801
THANJAVUR,10.78523,79.13909,Tamil Nadu,20260801
TIRUCHIRAPPALLI,0,0,,20260801
TIRUNELVELI,0,77.6838,Tamil Nadu,20260801
TIRUPUR,11.11541,77.35456,Tamil Nadu,20260801
UDAIPUR,24.58584,73.71346,Rajasthan,20260801
UDUPI,13.33467,74.74617,Karnataka,20260801
VELLORE,12.9184,79.13255,Tamil Nadu,20260801
VIRUDHUNAGAR Notes,0,0,,20260801
