city,lat,long,state,date
AHMEDNAGAR,23.59893,72.96602,Gujarat,20260824
AMARAVATI,16.514,80.516,Andhra Pradesh,20260824
ARIYALUR,11.13849,79.07556,Tamil Nadu,20260824
BAGALKOT,16.18673,75.69614,Karnataka,20260824
BELGAUM,15.85929,74.61829,Karnataka,20260824
BHILWARA,25.34707,74.64081,Rajasthan,20260824
BIDAR,17.90802,77.51524,Karnataka,20260824
BIHAR SHARIF,25.20084,85.52389,Bihar,20260824
BILEIPADA,0,0,,20260824
BUXAR,25.57548,83.98043,Bihar,20260824
BYRNIHAT-MEGHALAYA,0,0,,20260824
CHENGALPATTU,12.69184,79.97661,Tamil Nadu,20260824
CHHAL,22.12832,83.11623,Chhattisgarh,20260824
CHIKKABALLAPUR,0,0,,20260824
CUDDALORE,0,0,Tamil Nadu,20260824
CUTTACK,20.46497,85.87927,Odisha,20260824
DARBHANGA,26.15216,85.89707,Bihar,20260824
DAVANAGERE,0,0,,20260824
DHARWAD,0,75.00778,Karnataka,20260824
DINDIGUL,10.36896,77.98036,Tamil Nadu,20260824
ELOOR,0,0,,20260824
ERNAKULAM,0,76.29036,Kerala,20260824
FIROZABAD,0,0,Uttar Pradesh,20260824
GORAKHPUR,29.44768,75.67206,Haryana,20260824
HAPUR,28.72985,77.78068,Uttar Pradesh,20260824
HASSAN,13.00715,76.0962,Karnataka,20260824
HAVERI,14.79354,75.40448,Karnataka,20260824
HOSUR,12.73647,77.83264,Tamil Nadu,20260824
IMPHAL,24.80805,93.9442,Manipur,20260824
JALNA,19.84102,75.88636,Maharashtra,20260824
KAKINADA,16.96036,82.23809,Andhra Pradesh,20260824
KALABURAGI,0,76.83757,Karnataka,20260824
KANCHIPURAM,0,0,,20260824
KARUR,10.95771,78.08095,Tamil Nadu,20260824
KASHIPUR,0,78.95693,Uttarakhand,20260824
KATIHAR,0,87.57044,Bihar,20260824
KHANNA,30.70547,76.22196,Punjab,20260824
KOCHI,9.93988,76.26022,Kerala,20260824
KOLAR,13.13768,78.12999,Karnataka,20260824
KOLLAM,0,76.58469,Kerala,20260824
KOPPAL,0,76.15478,Karnataka,20260824
KOZHIKODE,11.24802,75.7804,Kerala,20260824
KURNOOL,0,78.03602,Andhra Pradesh,20260824
MACHILIPATNAM,0,81.13888,Andhra Pradesh,20260824
MADURAI,9.919,78.11953,Tamil Nadu,20260824
MANDI GOBINDGARH,0,0,,20260824
MILUPARA,0,0,Chhattisgarh,20260824
MODINAGAR,28.83059,77.57295,Rajasthan,20260824
MOTIHARI,27.09833,84.54916,Bihar,20260824
MUNGER,25.37459,86.47455,Bihar,20260824
NAGAPATTINAM,0,0,Tamil Nadu,20260824
NALBARI,0,91.44041,Assam,20260824
NAMAKKAL,11.22126,78.16524,Tamil Nadu,20260824
NAYAGARH,20.12882,85.09626,Odisha,20260824
OOTY,11.4134,76.69521,Tamil Nadu,20260824
PALI,25.77276,73.32335,Rajasthan,20260824
PALKALAIPERUR,0,0,,20260824
PANCHGAON,0,0,,20260824
PATHARDIH,23.6658,86.43166,Jharkhand,20260824
PERUNDURAI,11.27564,77.58794,Tamil Nadu,20260824
PUDUKOTTAI,12.50157,78.59045,Tamil Nadu,20260824
RAICHUR,16.20546,77.35567,Karnataka,20260824
RAIRANGPUR,22.26675,86.17385,Odisha,20260824
RAJGIR,25.02828,85.42079,Bihar,20260824
RAMANATHAPURAM,0,78.83077,Tamil Nadu,20260824
RANIPET,12.92471,79.33331,Tamil Nadu,20260824
SALEM,11.65376,78.15538,Tamil Nadu,20260824
SHILLONG,25.56892,91.88313,Meghalaya,20260824
SRI VIJAYA PURAM,0,0,,20260824
SUAKATI,0,85.51543,Odisha,20260824
THANJAVUR,0,79.13909,Tamil Nadu,20260824
TIRUCHIRAPPALLI,0,78.69651,Tamil Nadu,20260824
TIRUNELVELI,0,0,,20260824
TIRUPUR,11.11541,77.35456,Tamil Nadu,20260824
TUMAKURU,13.34136,77.1022,Karnataka,20260824
TUMIDIH,21.78534,82.87393,Chhattisgarh,20260824
UDUPI,13.33467,74.74617,Karnataka,20260824
VAPI,20.37175,72.90493,Gujarat,20260824
VELLORE,12.9184,79.13255,Tamil Nadu,20260824
VIJAYAPURA,16.82442,75.71537,Karnataka,20260824
VIRAR,0,0,,20260824
VIRUDHUNAGAR Notes,0,0,,20260824
