city,lat,long,state,date
AMARAVATI,0,0,Andhra Pradesh,20260820
ARIYALUR,11.13849,79.07556,Tamil Nadu,20260820
AURANGABAD-BIHAR,0,0,,20260820
BAGALKOT,0,75.69614,Karnataka,20260820
BALLABGARH,0,0,,20260820
BATHINDA,30.20747,74.93893,Punjab,20260820
BIDAR,0,77.51524,Karnataka,20260820
BIHAR SHARIF,25.20084,85.52389,Bihar,20260820
BIKANER,28.01762,73.31495,Rajasthan,20260820
BILASPUR,22.08005,82.15543,Chhattisgarh,20260820
BOISAR,19.80362,72.75598,Maharashtra,20260820
BUXAR,25.57548,83.98043,Bihar,20260820
BYRNIHAT-MEGHALAYA,0,0,,20260820
CHENGALPATTU,12.69184,79.97661,Tamil Nadu,20260820
DARBHANGA,26.15216,85.89707,Bihar,20260820
DAVANAGERE,0,0,,20260820
DHANBAD,23.79759,86.42992,Jharkhand,20260820
DHARWAD,0,0,,20260820
DINDIGUL,10.36896,77.98036,Tamil Nadu,20260820
ERNAKULAM,0,76.29036,Kerala,20260820
GANGTOK,0,0,Sikkim,20260820
GORAKHPUR,29.44768,75.67206,Haryana,20260820
HASSAN,13.00715,76.0962,Karnataka,20260820
HAVERI,0,0,Karnataka,20260820
HOSUR,12.73647,77.83264,Tamil Nadu,20260820
IMPHAL,0,0,,20260820
KAKINADA,16.96036,82.23809,Andhra Pradesh,20260820
KANCHIPURAM,12.83515,79.70006,Tamil Nadu,20260820
KARUR,10.95771,78.08095,Tamil Nadu,20260820
KARWAR,14.81361,74.12972,Karnataka,20260820
KOCHI,9.93988,76.26022,Kerala,20260820
KOLAR,0,78.12999,Karnataka,20260820
KOLLAM,0,0,,20260820
KOPPAL,0,76.15478,Karnataka,20260820
KOZHIKODE,0,0,,20260820
MADURAI,9.919,78.11953,Tamil Nadu,20260820
MAIHAR,0,80.76063,Madhya Pradesh,20260820
MYSURU,0,76.63925,Karnataka,20260820
NAGAPATTINAM,0,0,Tamil Nadu,20260820
NAMAKKAL,11.22126,78.16524,Tamil Nadu,20260820
NARNAUL,28.04444,76.10833,Haryana,20260820
NAYAGARH,20.12882,85.09626,Odisha,20260820
OOTY,11.4134,76.69521,Tamil Nadu,20260820
PALKALAIPERUR,0,0,,20260820
PATHARDIH,23.6658,86.43166,Jharkhand,20260820
PERUNDURAI,11.27564,77.58794,Tamil Nadu,20260820
PUDUCHERRY,11.93381,79.82979,Puducherry,20260820
PUDUKOTTAI,12.50157,78.59045,Tamil Nadu,20260820
RAICHUR,16.20546,77.35567,Karnataka,20260820
RAJGIR,25.02828,85.42079,Bihar,20260820
RAMANATHAPURAM,0,0,Tamil Nadu,20260820
RANIPET,12.92471,79.33331,Tamil Nadu,20260820
SALEM,0,78.15538,Tamil Nadu,20260820
SHAMLI,29.4497,77.30959,Uttar Pradesh,20260820
SINGRAULI,0,82.67535,Madhya Pradesh,20260820
SRI VIJAYA PURAM,0,0,,20260820
SUAKATI,0,85.51543,Odisha,20260820
THANJAVUR,0,0,Tamil Nadu,20260820
TIRUCHIRAPPALLI,0,78.69651,Tamil Nadu,20260820
TIRUNELVELI,8.72742,77.6838,Tamil Nadu,20260820
TIRUPUR,11.11541,77.35456,Tamil Nadu,20260820
TUMAKURU,13.34136,77.1022,Karnataka,20260820
TUMIDIH,21.78534,82.87393,Chhattisgarh,20260820
UDUPI,0,0,Karnataka,20260820
VELLORE,0,79.13255,Tamil Nadu,20260820
VIRUDHUNAGAR Notes,0,0,,20260820
