city,lat,long,state,date
AMARAVATI,0,0,,20260817
ARIYALUR,11.13849,79.07556,Tamil Nadu,20260817
ARRAH,25.55629,84.66335,Bihar,20260817
AURANGABAD-BIHAR,0,0,,20260817
BAGALKOT,16.18673,75.69614,Karnataka,20260817
BALLABGARH,28.33729,77.32633,Haryana,20260817
BARIPADA,0,0,,20260817
BELGAUM,15.85929,74.61829,Karnataka,20260817
BIDAR,17.90802,77.51524,Karnataka,20260817
BIHAR SHARIF,0,0,Bihar,20260817
BUXAR,25.57548,83.98043,Bihar,20260817
BYASANAGAR,20.95569,86.12643,Odisha,20260817
CHENGALPATTU,0,0,,20260817
CHHAL,0,83.11623,Chhattisgarh,20260817
CHIKKAMAGALURU,13.32231,75.774,Karnataka,20260817
DARBHANGA,26.15216,85.89707,Bihar,20260817
DHANBAD,23.79759,86.42992,Jharkhand,20260817
DHARWAD,15.46005,75.00778,Karnataka,20260817
DHOLPUR,26.69286,77.87968,Rajasthan,20260817
DINDIGUL,10.36896,77.98036,Tamil Nadu,20260817
ELURU,16.71311,81.10437,Andhra Pradesh,20260817
ERNAKULAM,9.96714,76.29036,Kerala,20260817
GORAKHPUR,29.44768,75.67206,Haryana,20260817
HASSAN,13.00715,76.0962,Karnataka,20260817
HAVERI,14.79354,75.40448,Karnataka,20260817
HISAR,29.15394,75.72294,Haryana,20260817
HOSUR,12.73647,77.83264,Tamil Nadu,20260817
IMPHAL,24.80805,93.9442,Manipur,20260817
JORAPOKHAR,0,85.76497,Jharkhand,20260817
KADAPA,0,0,,20260817
KANCHIPURAM,12.83515,79.70006,Tamil Nadu,20260817
KANNUR,11.86752,75.35763,Kerala,20260817
KARUR,0,0,Tamil Nadu,20260817
KASHIPUR,0,78.95693,Uttarakhand,20260817
KHORA,0,0,,20260817
KOCHI,0,76.26022,Kerala,20260817
KOLAR,0,78.12999,Karnataka,20260817
KOLLAM,0,0,,20260817
KOPPAL,15.34522,76.15478,Karnataka,20260817
KOZHIKODE,0,0,Kerala,20260817
MADURAI,9.919,78.11953,Tamil Nadu,20260817
MAIHAR,24.26594,80.76063,Madhya Pradesh,20260817
MANDI GOBINDGARH,0,0,,20260817
MANGALORE,12.84654,74.84056,Karnataka,20260817
MUNGER,25.37459,86.47455,Bihar,20260817
NAGAPATTINAM,10.76377,79.84313,Tamil Nadu,20260817
NAMAKKAL,11.22126,78.16524,Tamil Nadu,20260817
NAYAGARH,20.12882,85.09626,Odisha,20260817
OOTY,11.4134,76.69521,Tamil Nadu,20260817
PALKALAIPERUR,0,0,,20260817
PAMPORE,34.01515,74.91895,Jammu and Kashmir,20260817
PATHARDIH,23.6658,86.43166,Jharkhand,20260817
PERUNDURAI,11.27564,77.58794,Tamil Nadu,20260817
PUDUKOTTAI,12.50157,78.59045,Tamil Nadu,20260817
RAICHUR,0,0,Karnataka,20260817
RAJGIR,25.02828,85.42079,Bihar,20260817
RAMANATHAPURAM,0,0,,20260817
RANIPET,12.92471,79.33331,Tamil Nadu,20260817
RUPNAGAR,30.21013,73.99427,Punjab,20260817
SALEM,11.65376,78.15538,Tamil Nadu,20260817
SHAMLI,0,77.30959,Uttar Pradesh,20260817
SILIGURI,0,88.42851,West Bengal,20260817
SINGRAULI,0,82.67535,Madhya Pradesh,20260817
SRI VIJAYA PURAM,0,0,,20260817
SUAKATI,21.6143,85.51543,Odisha,20260817
TALCHER,20.94927,85.23354,Odisha,20260817
THANJAVUR,10.78523,79.13909,Tamil Nadu,20260817
THRISSUR,10.51667,76.21667,Kerala,20260817
TIRUCHIRAPPALLI,0,78.69651,Tamil Nadu,20260817
TIRUNELVELI,0,0,,20260817
TIRUPATI,13.63551,79.41989,Andhra Pradesh,20260817
TIRUPUR,0,0,Tamil Nadu,20260817
TUMAKURU,13.34136,77.1022,Karnataka,20260817
UDUPI,13.33467,74.74617,Karnataka,20260817
VELLORE,12.9184,79.13255,Tamil Nadu,20260817
VIRUDHUNAGAR Notes,0,0,,20260817
