city,lat,long,state,date
ARIYALUR,11.13849,79.07556,Tamil Nadu,20260916
ARRAH,25.55629,84.66335,Bihar,20260916
AURANGABAD-BIHAR,0,0,,20260916
BAGALKOT,0,75.69614,Karnataka,20260916
BALLABGARH,0,0,,20260916
BARAUT,0,0,,20260916
BELGAUM,15.85929,74.61829,Karnataka,20260916
BETTIAH,26.80229,84.50311,Bihar,20260916
BIDAR,17.90802,77.51524,Karnataka,20260916
BIHAR SHARIF,25.20084,85.52389,Bihar,20260916
BUXAR,0,0,Bihar,20260916
BYRNIHAT-MEGHALAYA,0,0,,20260916
CHENGALPATTU,12.69184,79.97661,Tamil Nadu,20260916
CHHAPRA,0,0,Gujarat,20260916
CHITTOOR,13.21055,79.0956,Andhra Pradesh,20260916
COIMBATORE,11.00555,76.96612,Tamil Nadu,20260916
CUDDALORE,0,0,Tamil Nadu,20260916
DARBHANGA,26.15216,85.89707,Bihar,20260916
DAVANAGERE,0,0,,20260916
DHANBAD,23.79759,86.42992,Jharkhand,20260916
DHOLPUR,26.69286,77.87968,Rajasthan,20260916
DINDIGUL,10.36896,77.98036,Tamil Nadu,20260916
ERNAKULAM,9.96714,76.29036,Kerala,20260916
FATEHPUR SIKRI,27.0937,77.66003,Uttar Pradesh,20260916
GADAG,15.42977,75.62971,Karnataka,20260916
GORAKHPUR,29.44768,75.67206,Haryana,20260916
GUMMIDIPOONDI,0,0,,20260916
HASSAN,13.00715,76.0962,Karnataka,20260916
HAVERI,14.79354,75.40448,Karnataka,20260916
HOSUR,0,77.83264,Tamil Nadu,20260916
IMPHAL,0,0,,20260916
KANCHIPURAM,12.83515,79.70006,Tamil Nadu,20260916
KANNUR,0,75.35763,Kerala,20260916
KARAULI,0,0,Rajasthan,20260916
KARUR,0,0,Tamil Nadu,20260916
KARWAR,14.81361,74.12972,Karnataka,20260916
KASHIPUR,29.21399,78.95693,Uttarakhand,20260916
KHORA,0,0,,20260916
KOCHI,0,0,,20260916
KOLAR,0,78.12999,Karnataka,20260916
KOLLAM,0,76.58469,Kerala,20260916
KOPPAL,0,0,,20260916
KOZHIKODE,11.24802,75.7804,Kerala,20260916
LUDHIANA,30.91204,75.85379,Punjab,20260916
MADURAI,9.919,78.11953,Tamil Nadu,20260916
MANDIKHERA,0,0,Haryana,20260916
MANGALORE,12.84654,74.84056,Karnataka,20260916
MANGURAHA,26.93841,84.39444,Bihar,20260916
MILUPARA,0,0,,20260916
MIRA,0,0,,20260916
MOTIHARI,27.09833,84.54916,Bihar,20260916
NAGAPATTINAM,10.76377,79.84313,Tamil Nadu,20260916
NAMAKKAL,11.22126,78.16524,Tamil Nadu,20260916
NANDED,19.16023,77.31497,Maharashtra,20260916
OOTY,11.4134,76.69521,Tamil Nadu,20260916
PALKALAIPERUR,0,0,,20260916
PAMPORE,34.01515,74.91895,Jammu and Kashmir,20260916
PATHARDIH,23.6658,86.43166,Jharkhand,20260916
PERUNDURAI,11.27564,77.58794,Tamil Nadu,20260916
PUDUKOTTAI,12.50157,78.59045,Tamil Nadu,20260916
PURNIA,25.77895,87.47422,Bihar,20260916
RAICHUR,0,77.35567,Karnataka,20260916
RAMANATHAPURAM,0,0,,20260916
RANIPET,12.92471,79.33331,Tamil Nadu,20260916
RISHIKESH,30.10778,78.29255,Uttarakhand,20260916
SALEM,11.65376,78.15538,Tamil Nadu,20260916
SAMASTIPUR,0,0,,20260916
SHILLONG,25.56892,91.88313,Meghalaya,20260916
SILIGURI,26.71004,88.42851,West Bengal,20260916
SINGRAULI,24.19973,82.67535,Madhya Pradesh,20260916
SIWAN,26.22096,84.35609,Bihar,20260916
SRI VIJAYA PURAM,0,0,,20260916
SRIKAKULAM,0,83.89751,Andhra Pradesh,20260916
SUAKATI,21.6143,85.51543,Odisha,20260916
TALCHER,20.94927,85.23354,Odisha,20260916
TENSA,0,0,Odisha,20260916
THANJAVUR,10.78523,79.13909,Tamil Nadu,20260916
THOOTHUKUDI,0,0,Tamil Nadu,20260916
TIRUCHIRAPPALLI,0,78.69651,Tamil Nadu,20260916
TIRUNELVELI,8.72742,77.6838,Tamil Nadu,20260916
TIRUPATI,13.63551,79.41989,Andhra Pradesh,20260916
TIRUPUR,11.11541,77.35456,Tamil Nadu,20260916
TUMAKURU,13.34136,77.1022,Karnataka,20260916
TUMIDIH,21.78534,82.87393,Chhattisgarh,20260916
UDUPI,13.33467,74.74617,Karnataka,20260916
VAPI,20.37175,72.90493,Gujarat,20260916
VELLORE,12.9184,79.13255,Tamil Nadu,20260916
VIJAYAPURA,16.82442,75.71537,Karnataka,20260916
VIRUDHUNAGAR Notes,0,0,,20260916
